feature,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,specificity_mean,specificity_std,sensitivity_mean,sensitivity_std,D
L-BI,0.9279411764705883,0.04565933734194125,0.9571428571428571,0.026726124191242425,0.9142857142857143,0.053452248382484906,1.0,0.0,112
L-AFR+L-BI,0.9169117647058824,0.04671288286549587,0.95,0.028571428571428602,0.9000000000000001,0.05714285714285716,1.0,0.0,224
BI,0.9286764705882353,0.04384721034081052,0.930952380952381,0.07038926428140228,0.9285714285714286,0.04517539514526258,0.9333333333333332,0.13333333333333336,1008
L-TB,0.9286764705882353,0.0232054909383228,0.930952380952381,0.06666666666666667,0.9285714285714286,0.0,0.9333333333333332,0.13333333333333336,2240
AFR+BI,0.9051470588235293,0.059572438530967935,0.8904761904761905,0.08329931278350428,0.9142857142857143,0.06998542122237653,0.8666666666666666,0.16329931618554522,2016
AFR,0.8933823529411764,0.04325129755839043,0.8833333333333334,0.07468755781599104,0.9,0.05714285714285716,0.8666666666666666,0.16329931618554522,1008
L-AFR,0.8933823529411764,0.06810903633476126,0.8833333333333334,0.14471020380021662,0.9,0.0349927106111883,0.8666666666666666,0.26666666666666666,112
TB,0.9161764705882354,0.04823888078487273,0.880952380952381,0.10780220402544542,0.9285714285714286,0.04517539514526258,0.8333333333333333,0.21081851067789195,20160
